Variable,Value
"sc_commodity_outflow_3,0,0,Tstart1,Tend2",1.0
"sc_commodity_outflow_3,0,0,Tstart2,Tend3",1.0
"sc_commodity_outflow_3,0,0,Tstart3,Tend4",1.0
"sc_commodity_outflow_4,1,0,Tstart10,Tend11",1.0
"sc_commodity_outflow_4,2,1,Tstart7,Tend10",1.0
"sc_commodity_outflow_4,2,3,Tstart4,Tend5",1.0
"sc_commodity_outflow_4,3,2,Tstart6,Tend7",1.0
"sc_commodity_outflow_4,3,3,Tstart5,Tend6",1.0
"sc_commodity_outflow_5,3,3,Tstart6,Tend7",1.0
"sc_commodity_inflow_1,0,1,Tstart0,Tend1",1.0
"sc_commodity_inflow_1,1,2,Tstart1,Tend4",1.0
"sc_commodity_inflow_1,2,2,Tstart4,Tend5",1.0
"sc_commodity_inflow_1,2,2,Tstart5,Tend6",1.0
"sc_commodity_inflow_1,2,2,Tstart6,Tend7",1.0
"sc_commodity_inflow_1,2,2,Tstart7,Tend8",1.0
"sc_commodity_inflow_1,2,2,Tstart8,Tend9",1.0
"sc_commodity_inflow_1,2,2,Tstart9,Tend10",1.0
"sc_commodity_inflow_2,0,1,Tstart0,Tend1",1.0
"sc_commodity_inflow_2,2,2,Tstart6,Tend7",1.0
"sc_commodity_inflow_2,2,2,Tstart7,Tend8",1.0
"sc_commodity_inflow_2,2,2,Tstart8,Tend9",1.0
"sc_commodity_inflow_2,2,2,Tstart9,Tend10",1.0
"sc_commodity_inflow_3,0,0,Tstart0,Tend1",1.0
"sc_commodity_inflow_3,0,0,Tstart1,Tend2",1.0
"sc_commodity_inflow_3,0,0,Tstart2,Tend3",1.0
"sc_commodity_inflow_3,0,0,Tstart3,Tend4",1.0
"sc_commodity_inflow_4,1,0,Tstart10,Tend11",1.0
"sc_commodity_inflow_4,2,1,Tstart7,Tend10",1.0
"sc_commodity_inflow_4,2,3,Tstart4,Tend5",1.0
"sc_commodity_inflow_4,3,2,Tstart6,Tend7",1.0
"sc_commodity_inflow_4,3,3,Tstart5,Tend6",1.0
"sc_commodity_inflow_5,3,3,Tstart6,Tend7",1.0
"SC_payload_commodity_outflow_1,0,1,Tstart0,Tend1,CommoditypayloadVarLM_ascend_stage",1.0
"SC_payload_commodity_outflow_1,1,2,Tstart1,Tend4,CommoditypayloadVarCommand_module",1.0
"SC_payload_commodity_outflow_1,1,2,Tstart1,Tend4,CommoditypayloadVarLM_descend_stage",1.0
"SC_payload_commodity_outflow_1,1,2,Tstart1,Tend4,CommoditypayloadVarLM_ascend_stage",1.0
"SC_payload_commodity_outflow_1,2,2,Tstart4,Tend5,CommoditypayloadVarCommand_module",1.0
"SC_payload_commodity_outflow_1,2,2,Tstart5,Tend6,CommoditypayloadVarCommand_module",1.0
"SC_payload_commodity_outflow_2,0,1,Tstart0,Tend1,CommoditypayloadVarLM_descend_stage",1.0
"SC_payload_commodity_outflow_4,2,3,Tstart4,Tend5,CommoditypayloadVarLM_ascend_stage",1.0
"SC_payload_commodity_outflow_4,3,3,Tstart5,Tend6,CommoditypayloadVarLM_ascend_stage",1.0
"SC_payload_commodity_inflow_1,0,1,Tstart0,Tend1,CommoditypayloadVarLM_ascend_stage",1.0
"SC_payload_commodity_inflow_1,1,2,Tstart1,Tend4,CommoditypayloadVarCommand_module",1.0
"SC_payload_commodity_inflow_1,1,2,Tstart1,Tend4,CommoditypayloadVarLM_descend_stage",1.0
"SC_payload_commodity_inflow_1,1,2,Tstart1,Tend4,CommoditypayloadVarLM_ascend_stage",1.0
"SC_payload_commodity_inflow_1,2,2,Tstart4,Tend5,CommoditypayloadVarCommand_module",1.0
"SC_payload_commodity_inflow_1,2,2,Tstart5,Tend6,CommoditypayloadVarCommand_module",1.0
"SC_payload_commodity_inflow_2,0,1,Tstart0,Tend1,CommoditypayloadVarLM_descend_stage",1.0
"SC_payload_commodity_inflow_4,2,3,Tstart4,Tend5,CommoditypayloadVarLM_ascend_stage",1.0
"SC_payload_commodity_inflow_4,3,3,Tstart5,Tend6,CommoditypayloadVarLM_ascend_stage",1.0
